Date,Open,High,Low,Close,Adj Close,Volume
2005-11-07,2.054000,2.152000,2.027500,2.134000,2.134000,427524000
2005-11-14,2.126000,2.400000,2.117000,2.399000,2.399000,2067368000
2005-11-21,2.378500,2.450500,2.364000,2.403000,2.403000,820792000
2005-11-28,2.407500,2.476500,2.377500,2.453000,2.453000,865984000
2005-12-05,2.443000,2.495000,2.393000,2.437000,2.437000,669642000
2005-12-12,2.457500,2.497500,2.424000,2.460500,2.460500,513000000
2005-12-19,2.449500,2.500000,2.384000,2.461000,2.461000,575894000
2005-12-26,2.445000,2.455000,2.357000,2.357500,2.357500,378454000
2006-01-02,2.373500,2.429000,2.312500,2.393500,2.393500,531864000
2006-01-09,2.327500,2.355000,2.200000,2.220000,2.220000,747538000
2006-01-16,2.197500,2.262000,2.155000,2.196000,2.196000,556772000
2006-01-23,2.209000,2.261000,2.167000,2.261000,2.261000,468916000
2006-01-30,2.270500,2.298500,1.868500,1.916500,1.916500,1457956000
2006-02-06,1.917000,1.950000,1.855500,1.926000,1.926000,707902000
2006-02-13,1.912500,2.000000,1.869000,1.959500,1.959500,527742000
2006-02-20,1.950500,1.955500,1.885500,1.917500,1.917500,508410000
2006-02-27,1.920000,1.939000,1.768500,1.860500,1.860500,764202000
2006-03-06,1.866000,1.879000,1.787000,1.811000,1.811000,547800000
2006-03-13,1.815500,1.869500,1.792500,1.799500,1.799500,439476000
2006-03-20,1.796000,1.863500,1.765500,1.773500,1.773500,497222000
2006-03-27,1.775000,1.845000,1.757000,1.826500,1.826500,466862000
2006-04-03,1.833500,1.942000,1.801000,1.854500,1.854500,586608000
2006-04-10,1.857500,1.864000,1.774500,1.831000,1.831000,358482000
2006-04-17,1.823500,1.860000,1.752500,1.801500,1.801500,462590000
2006-04-24,1.806000,1.817500,1.750500,1.760500,1.760500,727492000
2006-05-01,1.759500,1.778500,1.675500,1.752000,1.752000,645088000
2006-05-08,1.749500,1.765500,1.627500,1.636500,1.636500,511828000
2006-05-15,1.627500,1.700000,1.576000,1.697000,1.697000,761502000
2006-05-22,1.698000,1.825000,1.659000,1.803500,1.803500,797154000
2006-05-29,1.786500,1.787500,1.686500,1.738000,1.738000,449846000
2006-06-05,1.723000,1.727000,1.621000,1.689000,1.689000,563468000
2006-06-12,1.700000,1.763000,1.654000,1.754500,1.754500,516182000
2006-06-19,1.760000,1.852500,1.744000,1.827500,1.827500,503956000
2006-06-26,1.827500,1.942000,1.808500,1.934000,1.934000,491244000
2006-07-03,1.926000,1.931000,1.787500,1.805500,1.805500,330942000
2006-07-10,1.815000,1.835000,1.640000,1.646000,1.646000,588206000
2006-07-17,1.639500,1.740500,1.639500,1.659500,1.659500,685028000
2006-07-24,1.667500,1.734000,1.298000,1.358500,1.358500,2808328000
2006-07-31,1.351000,1.379500,1.292000,1.364500,1.364500,923418000
2006-08-07,1.359500,1.364500,1.288000,1.303500,1.303500,623386000
2006-08-14,1.311000,1.487500,1.309000,1.456000,1.456000,729222000
2006-08-21,1.435000,1.449000,1.377000,1.401500,1.401500,454158000
2006-08-28,1.420000,1.590000,1.413500,1.588000,1.588000,745580000
2006-09-04,1.580500,1.615000,1.484000,1.525500,1.525500,614214000
2006-09-11,1.511500,1.637000,1.486000,1.626000,1.626000,645620000
2006-09-18,1.622500,1.640500,1.495000,1.542000,1.542000,900934000
2006-09-25,1.552500,1.629500,1.537000,1.606000,1.606000,628342000
2006-10-02,1.599000,1.670000,1.529000,1.629500,1.629500,691778000
2006-10-09,1.624500,1.685500,1.613500,1.666000,1.666000,568162000
2006-10-16,1.642500,1.660000,1.587500,1.628500,1.628500,572628000
2006-10-23,1.623500,1.924500,1.607000,1.912000,1.912000,2095276000
2006-10-30,1.902500,1.929500,1.843500,1.873000,1.873000,606662000
2006-11-06,1.882000,1.988500,1.876500,1.963000,1.963000,614962000
2006-11-13,1.961500,2.155000,1.956500,2.127500,2.127500,979666000
2006-11-20,2.117500,2.162500,2.097000,2.120500,2.120500,391154000
2006-11-27,2.109000,2.140000,1.954500,1.970500,1.970500,771582000
2006-12-04,1.965500,1.979000,1.885000,1.923000,1.923000,659930000
2006-12-11,1.911000,2.009500,1.904000,2.000500,2.000500,581184000
2006-12-18,2.010000,2.032000,1.911500,2.012000,2.012000,678526000
2006-12-25,2.006500,2.031500,1.967500,1.973000,1.973000,335052000
2007-01-01,1.934000,1.957000,1.880000,1.918500,1.918500,506864000
2007-01-08,1.911000,1.915500,1.853500,1.910000,1.910000,598910000
2007-01-15,1.920000,1.950000,1.830000,1.851000,1.851000,517428000
2007-01-22,1.882500,1.911500,1.815000,1.842500,1.842500,595784000
2007-01-29,1.835000,1.965000,1.827000,1.869500,1.869500,1429196000
2007-02-05,1.862500,1.976000,1.838500,1.936000,1.936000,733410000
2007-02-12,1.939500,2.022000,1.918000,2.016500,2.016500,498450000
2007-02-19,2.006500,2.100000,2.000000,2.039000,2.039000,476706000
2007-02-26,2.043000,2.060000,1.884500,1.884500,1.884500,752338000
2007-03-05,1.857500,1.966000,1.852000,1.942000,1.942000,897756000
2007-03-12,1.932000,1.952500,1.863000,1.892500,1.892500,656108000
2007-03-19,1.900000,1.990000,1.900000,1.949000,1.949000,425946000
2007-03-26,1.949000,2.012000,1.921500,1.989500,1.989500,522380000
2007-04-02,1.992500,2.088000,1.977500,2.084000,2.084000,408252000
2007-04-09,2.086000,2.125000,2.062000,2.120500,2.120500,420948000
2007-04-16,2.188500,2.266000,2.183500,2.247500,2.247500,732590000
2007-04-23,2.213500,3.192000,2.208000,3.130000,3.130000,4884366000
2007-04-30,3.095500,3.187500,3.014000,3.161500,3.161500,1694134000
2007-05-07,3.121500,3.161500,2.985000,3.078000,3.078000,1104108000
2007-05-14,3.084000,3.176000,3.005000,3.165000,3.165000,1052360000
2007-05-21,3.179000,3.665500,3.165000,3.427500,3.427500,2601488000
2007-05-28,3.421500,3.537000,3.386000,3.429000,3.429000,772632000
2007-06-04,3.412500,3.736000,3.382500,3.662000,3.662000,1835134000
2007-06-11,3.650000,3.652500,3.462500,3.620000,3.620000,1059700000
2007-06-18,3.617000,3.632000,3.421000,3.443000,3.443000,896990000
2007-06-25,3.467500,3.511500,3.335500,3.420500,3.420500,843660000
2007-07-02,3.440500,3.502500,3.400500,3.448500,3.448500,324656000
2007-07-09,3.469000,3.767500,3.451000,3.755000,3.755000,1084990000
2007-07-16,3.736500,3.742000,3.525000,3.581500,3.581500,702264000
2007-07-23,3.589000,4.450000,3.442500,4.202000,4.202000,2645444000
2007-07-30,4.150000,4.202500,3.753000,3.840000,3.840000,1244544000
2007-08-06,3.853000,4.000000,3.618500,3.739000,3.739000,854460000
2007-08-13,3.804500,3.816000,3.502500,3.751000,3.751000,728372000
2007-08-20,3.749000,3.974500,3.690000,3.962500,3.962500,650480000
2007-08-27,4.028000,4.040000,3.804000,3.995500,3.995500,571626000
2007-09-03,3.995000,4.323000,3.986500,4.226000,4.226000,687726000
2007-09-10,4.246500,4.444500,4.125500,4.388500,4.388500,623904000
2007-09-17,4.349000,4.595000,4.299000,4.565000,4.565000,643458000
2007-09-24,4.565000,4.713000,4.540500,4.657500,4.657500,490376000
2007-10-01,4.671000,4.705000,4.570000,4.671500,4.671500,483172000
2007-10-08,4.711000,4.836500,4.406500,4.618500,4.618500,766462000
2007-10-15,4.590000,4.606000,4.425000,4.488000,4.488000,725094000
2007-10-22,4.462500,5.054500,4.163500,4.500000,4.500000,2274094000
2007-10-29,4.520500,4.573500,4.175000,4.299000,4.299000,760872000
2007-11-05,4.217500,4.458000,3.942000,3.944500,3.944500,944166000
2007-11-12,3.913000,4.057500,3.825000,3.930000,3.930000,845324000
2007-11-19,3.941500,4.100000,3.897000,4.071500,4.071500,594380000
2007-11-26,4.115000,4.573500,4.057000,4.528000,4.528000,850136000
2007-12-03,4.501500,4.750000,4.488500,4.715500,4.715500,587090000
2007-12-10,4.715500,4.797000,4.446500,4.454000,4.454000,694538000
2007-12-17,4.450500,4.614000,4.193000,4.563000,4.563000,701294000
2007-12-24,4.552500,4.795000,4.515000,4.722500,4.722500,443218000
2007-12-31,4.690500,4.871500,4.425000,4.439500,4.439500,780128000
2008-01-07,4.431000,4.591500,4.012000,4.054000,4.054000,1218200000
2008-01-14,4.109000,4.166000,3.902000,3.988000,3.988000,1087684000
2008-01-21,3.679000,4.071500,3.497500,3.880000,3.880000,1062842000
2008-01-28,3.845500,3.970000,3.442000,3.731500,3.731500,2060178000
2008-02-04,3.725000,3.833000,3.361000,3.675000,3.675000,1147814000
2008-02-11,3.657000,3.942500,3.597000,3.648000,3.648000,938006000
2008-02-18,3.677000,3.710500,3.468500,3.604000,3.604000,781068000
2008-02-25,3.617500,3.675000,3.198500,3.223500,3.223500,1030248000
2008-03-03,3.179500,3.330000,3.060000,3.204500,3.204500,1206650000
2008-03-10,3.195000,3.534000,3.145500,3.411000,3.411000,998818000
2008-03-17,3.286000,3.700000,3.246000,3.659500,3.659500,834248000
2008-03-24,3.691000,3.846500,3.463000,3.488000,3.488000,704590000
2008-03-31,3.512500,3.950000,3.481500,3.843500,3.843500,781988000
2008-04-07,3.868000,3.921500,3.581000,3.599500,3.599500,626796000
2008-04-14,3.585000,4.100000,3.532500,4.005000,4.005000,818514000
2008-04-21,4.001500,4.132000,3.846500,4.043000,4.043000,1327216000
2008-04-28,4.032000,4.125000,3.820000,3.865500,3.865500,818918000
2008-05-05,3.863500,3.888500,3.578000,3.620500,3.620500,658890000
2008-05-12,3.650000,3.841500,3.589000,3.823000,3.823000,598996000
2008-05-19,3.950500,4.237500,3.871500,3.917500,3.917500,907800000
2008-05-26,3.913000,4.098000,3.898500,4.081000,4.081000,578740000
2008-06-02,4.057500,4.244000,3.963000,4.031500,4.031500,706518000
2008-06-09,4.059500,4.076500,3.750500,3.958500,3.958500,613126000
2008-06-16,3.921000,4.223500,3.920500,4.055000,4.055000,694192000
2008-06-23,4.065000,4.107500,3.631000,3.733000,3.733000,902196000
2008-06-30,3.751500,3.806000,3.526000,3.600000,3.600000,573784000
2008-07-07,3.618500,3.774500,3.337000,3.427000,3.427000,801104000
2008-07-14,3.465500,3.637500,3.149500,3.456000,3.456000,1005954000
2008-07-21,3.476000,4.119000,3.294000,3.915500,3.915500,1475124000
2008-07-28,3.854500,3.992500,3.702500,3.787500,3.787500,697872000
2008-08-04,3.799500,4.060500,3.750500,4.025500,4.025500,666128000
2008-08-11,4.009000,4.587500,3.989000,4.320000,4.320000,1081576000
2008-08-18,4.304500,4.314000,4.049000,4.263000,4.263000,599280000
2008-08-25,4.231500,4.232000,4.025000,4.040500,4.040500,538414000
2008-09-01,4.158000,4.225000,3.854000,3.959500,3.959500,562580000
2008-09-08,4.112500,4.187500,3.755000,3.915000,3.915000,781016000
2008-09-15,3.843000,4.338500,3.504000,4.050000,4.050000,1248160000
2008-09-22,4.056500,4.081500,3.404000,3.535000,3.535000,756488000
2008-09-29,3.420500,3.656000,3.066000,3.350000,3.350000,1092552000
2008-10-06,3.203000,3.321500,2.552500,2.812500,2.812500,1448372000
2008-10-13,2.948000,3.200000,2.169500,2.532500,2.532500,1595730000
2008-10-20,2.608500,2.655000,2.165500,2.448000,2.448000,1776854000
2008-10-27,2.450000,2.994500,2.421500,2.862000,2.862000,1229010000
2008-11-03,2.817500,2.936500,2.315000,2.460500,2.460500,985194000
2008-11-10,2.499000,2.534000,1.924000,2.087500,2.087500,1251154000
2008-11-17,1.995500,2.063000,1.734000,1.893500,1.893500,1434974000
2008-11-24,1.939500,2.205000,1.935000,2.135000,2.135000,889708000
2008-12-01,2.100000,2.525000,1.941000,2.413000,2.413000,1399186000
2008-12-08,2.457500,2.724000,2.368000,2.562500,2.562500,965154000
2008-12-15,2.532500,2.742500,2.407500,2.578000,2.578000,876254000
2008-12-22,2.580000,2.697500,2.423500,2.589000,2.589000,465264000
2008-12-29,2.571500,2.726500,2.428000,2.718000,2.718000,563956000
2009-01-05,2.786500,2.911000,2.651500,2.775500,2.775500,835892000
2009-01-12,2.706000,2.715000,2.381500,2.579500,2.579500,955152000
2009-01-19,2.537500,2.585000,2.412500,2.531500,2.531500,510466000
2009-01-26,2.509000,2.987000,2.386000,2.941000,2.941000,1634008000
2009-02-02,2.928500,3.350000,2.906500,3.327500,3.327500,1399194000
2009-02-09,3.328000,3.368000,3.085500,3.163000,3.163000,814238000
2009-02-16,3.083500,3.209000,3.026000,3.193000,3.193000,612310000
2009-02-23,3.208000,3.305000,3.047000,3.239500,3.239500,909862000
2009-03-02,3.197000,3.290000,2.991000,3.084500,3.084500,1180570000
2009-03-09,3.110000,3.493500,3.007500,3.431500,3.431500,1262622000
2009-03-16,3.428000,3.695500,3.334000,3.498000,3.498000,980580000
2009-03-23,3.568000,3.780500,3.492000,3.526000,3.526000,783848000
2009-03-30,3.520000,3.916000,3.487500,3.908500,3.908500,824190000
2009-04-06,3.863000,4.000000,3.728500,3.988500,3.988500,484708000
2009-04-13,3.992000,3.998500,3.675500,3.902500,3.902500,733584000
2009-04-20,3.922000,4.334000,3.841500,4.223000,4.223000,1285932000
2009-04-27,4.194000,4.267500,3.892500,3.948000,3.948000,840486000
2009-05-04,4.013000,4.180000,3.815500,3.897500,3.897500,786374000
2009-05-11,3.840000,3.992500,3.665500,3.680000,3.680000,770936000
2009-05-18,3.698000,4.055500,3.655000,3.782000,3.782000,626684000
2009-05-25,3.751500,3.975000,3.727500,3.899500,3.899500,445640000
2009-06-01,3.910500,4.397500,3.874500,4.378000,4.378000,830516000
2009-06-08,4.337500,4.428000,4.100500,4.204000,4.204000,547670000
2009-06-15,4.141500,4.215000,4.032000,4.148000,4.148000,590880000
2009-06-22,4.120500,4.207000,3.812500,4.194000,4.194000,787540000
2009-06-29,4.193500,4.246000,3.925500,3.966000,3.966000,569098000
2009-07-06,3.922500,3.944500,3.770500,3.881500,3.881500,694732000
2009-07-13,3.903500,4.325000,3.900500,4.292500,4.292500,586926000
2009-07-20,4.313500,4.720000,4.275000,4.324500,4.324500,1149630000
2009-07-27,4.312000,4.362500,4.130000,4.288000,4.288000,793944000
2009-08-03,4.328000,4.410000,4.151000,4.266000,4.266000,608826000
2009-08-10,4.250500,4.330000,4.122500,4.179000,4.179000,514442000
